id	slug	title	banner_url	description	content_images	created_at	updated_at
1	airport-activations	airport activations	/staff-4.jpg	As a Department of Economic Development (DED) licensed company, we can provide our staff with work permits and airport passes, in order for our staff to work legally within Dubai Duty Free (DDF).\n\n24 hours staffing solutions are managed by organised scheduling, to provide round the clock engagement at DDF activation stands.\n\nWe can provide; runners, promoters and temporary sales staff to cater for all your requirements in Dubai Duty Free.	["/a-z-2.gif", "/carousel-image-1.jpg", "/a-z-1.gif", "/+971504249866.jpeg"]	2026-04-28 10:08:31	2026-04-28 15:09:28
3	brand-activations	brand activations	https://web.archive.org/web/20250804161257im_/https://engage-me.me/public/image/customs/28092020160128624423.jpg	Bringing brands to life through targeted, on-ground experiences — staff selection, training and activation management.\n\nWe take time to understand your brand in order to carefully select and propose staff that we feel are the right fit to evoke your brand on a ground level.\n\nPre-campaign training and brand immersion are standard; promoters, sampling staff and runners are briefed to deliver measurable results.	["https://web.archive.org/web/20250804161257im_/https://engage-me.me/public/image/customs/280920201601286244570.jpg", "https://web.archive.org/web/20250804161257im_/https://engage-me.me/public/image/customs/280920201601286244991.jpg", "https://web.archive.org/web/20250804161257im_/https://engage-me.me/public/image/customs/280920201601286244792.jpg", "https://web.archive.org/web/20250804161257im_/https://engage-me.me/public/image/customs/280920201601286244603.jpg"]	2026-04-28 10:23:56	2026-04-28 10:23:56
4	corporate-events	corporate events	https://web.archive.org/web/20250913024744im_/https://engage-me.me/public/image/customs/28102020034633100424.jpg	From high-level executive conferences to celebratory galas, we provide the people, planning and expertise to make your corporate event a success.\n\nWe have extensive experience in managing the staffing requirements of corporate events and functions of any size.	["https://web.archive.org/web/20250913024744im_/https://engage-me.me/public/image/customs/28102020034633100554.jpg", "https://web.archive.org/web/20250913024744im_/https://engage-me.me/public/image/customs/28102020034633100754.jpg"]	2026-04-28 10:23:56	2026-04-28 10:23:56
5	entertainers	entertainers	https://web.archive.org/web/20250913024744im_/https://engage-me.me/public/image/customs/21072020115656512684.jpg	We represent and manage a diverse portfolio of professional entertainers, from bands and musicians to dancers, aerialists, LED performers, comedy acts and more.\n\nAll our entertainers are hand-picked, reliable and have proven track records.	["https://web.archive.org/web/20250913024744im_/https://engage-me.me/public/image/customs/21072020115656512650.jpg", "https://web.archive.org/web/20250913024744im_/https://engage-me.me/public/image/customs/21072020115656512756.jpg"]	2026-04-28 10:23:56	2026-04-28 10:23:56
6	event-staffing	event staffing	https://web.archive.org/web/20250913024744im_/https://engage-me.me/public/image/customs/24102020104712100430.jpg	From registration to crowd management, ushers to VIP hosts, we supply professionally trained event staff for conferences, exhibitions, concerts, sporting events and more.\n\nOur event staffing solutions are scalable to events of any size.	["https://web.archive.org/web/20250913024744im_/https://engage-me.me/public/image/customs/24102020104712100470.jpg", "https://web.archive.org/web/20250913024744im_/https://engage-me.me/public/image/customs/24102020104712100508.jpg"]	2026-04-28 10:23:56	2026-04-28 10:23:56
7	exhibitions	exhibitions	https://web.archive.org/web/20250917024326im_/https://engage-me.me/public/image/customs/28092020160128190630.jpg	We provide professional staff for exhibitions and trade shows across the Middle East.\n\nOur team includes brand ambassadors, promotional staff, hosts/hostesses, runners and technical support staff.	["https://web.archive.org/web/20250917024326im_/https://engage-me.me/public/image/customs/28092020160128190690.jpg", "https://web.archive.org/web/20250917024326im_/https://engage-me.me/public/image/customs/28092020160128190770.jpg"]	2026-04-28 10:23:56	2026-04-28 10:23:56
8	f-b-staffing	f & b staffing	https://web.archive.org/web/20250913024744im_/https://engage-me.me/public/image/customs/06102020101124100714.jpg	Professional Food & Beverage staffing for events, exhibitions and corporate functions.\n\nWe provide trained waiters, bartenders, catering assistants and F&B supervisors.	["https://web.archive.org/web/20250913024744im_/https://engage-me.me/public/image/customs/06102020101124100736.jpg", "https://web.archive.org/web/20250913024744im_/https://engage-me.me/public/image/customs/06102020101124100796.jpg"]	2026-04-28 10:23:56	2026-04-28 10:23:56
9	hosts-hostesses	hosts & hostesses	https://web.archive.org/web/20250913024744im_/https://engage-me.me/public/image/customs/28102020034633888834.jpg	Professional hosts and hostesses for corporate events, exhibitions, product launches and VIP functions.\n\nOur team is well-groomed, articulate and experienced in greeting and guiding VIP guests.	["https://web.archive.org/web/20250913024744im_/https://engage-me.me/public/image/customs/28102020034633888854.jpg", "https://web.archive.org/web/20250913024744im_/https://engage-me.me/public/image/customs/28102020034633888904.jpg"]	2026-04-28 10:23:56	2026-04-28 10:23:56
10	in-store-promoters	in-store promoters	https://web.archive.org/web/20250804160927im_/https://engage-me.me/public/image/customs/280920201601291057360.jpg	Our in-store promoters can attract store visitors to; trial products, participate in activations, communicate product information, post to social media and ultimately purchase products.\n\nWe can provide work permits and occupational health cards when and where required.\n\nEvery in-store promoter is provided with clear targets to ensure Return on Investments (ROI).	["https://web.archive.org/web/20250804160927im_/https://engage-me.me/public/image/customs/280920201601291057360.jpg"]	2026-04-28 10:27:13	2026-04-28 10:27:13
11	lead-generation	lead generation	https://web.archive.org/web/20250917020839im_/https://engage-me.me/public/image/customs/280920201601291551960.jpg	Our lead generation service helps you capture qualified prospects and build your customer database.\n\nWe employ various tactics including street sampling, QR code scans, form fills and competition entries to capture leads.	["https://web.archive.org/web/20250917020839im_/https://engage-me.me/public/image/customs/280920201601291551960.jpg"]	2026-04-28 10:27:13	2026-04-28 10:27:13
12	registration-staff	registration staff	https://web.archive.org/web/20250917012813im_/https://engage-me.me/public/image/customs/200220251740050711190.JPG	Professional registration staff for conferences, exhibitions and events.\n\nOur team handles check-in, badge issuance, data capture and attendee management efficiently.	["https://web.archive.org/web/20250917012813im_/https://engage-me.me/public/image/customs/200220251740050711190.JPG"]	2026-04-28 10:27:13	2026-04-28 10:27:13
13	retail-support	retail support	https://web.archive.org/web/20250917023707im_/https://engage-me.me/public/image/customs/200220251740059720720.jpeg	Retail support staff to assist with merchandising, stock management and point-of-sale operations.\n\nWe provide trained personnel who can help boost your retail performance.	["https://web.archive.org/web/20250917023707im_/https://engage-me.me/public/image/customs/200220251740059720720.jpeg"]	2026-04-28 10:27:13	2026-04-28 10:27:13
14	roadshows	roadshows	https://web.archive.org/web/20250917020957im_/https://engage-me.me/public/image/customs/280920201601296638890.JPG	Mobile roadshow solutions taking your brand directly to consumers.\n\nWe handle logistics, staffing and execution of pop-up activations in high-traffic locations.	["https://web.archive.org/web/20250917020957im_/https://engage-me.me/public/image/customs/280920201601296638890.JPG"]	2026-04-28 10:27:13	2026-04-28 10:27:13
15	mall-activations	mall activations	https://web.archive.org/web/20250917023557im_/https://engage-me.me/public/image/customs/280920201601291839240.jpg	Mall and shopping centre activations to engage consumers and drive brand awareness.\n\nOur team creates memorable experiences that connect brands with shoppers.	["https://web.archive.org/web/20250917023557im_/https://engage-me.me/public/image/customs/280920201601291839240.jpg"]	2026-04-28 10:27:13	2026-04-28 10:27:13
16	models	models	https://web.archive.org/web/20250917011643im_/https://engage-me.me/public/image/customs/280920201601295729680.jpg	Professional models for fashion shows, product launches, photography and advertising.\n\nWe provide male, female and child models of all ethnicities.	["https://web.archive.org/web/20250917011643im_/https://engage-me.me/public/image/customs/280920201601295729680.jpg"]	2026-04-28 10:27:13	2026-04-28 10:27:13
17	social-media-content	social media content	https://web.archive.org/web/20250917015832im_/https://engage-me.me/public/image/customs/280920201601296993410.png	Social media content creation featuring real people using your products.\n\nAuthentic user-generated content that builds trust and engagement.	["https://web.archive.org/web/20250917015832im_/https://engage-me.me/public/image/customs/280920201601296993410.png"]	2026-04-28 10:27:13	2026-04-28 10:27:13
18	sporting-events	sporting events	https://web.archive.org/web/20250617162351im_/https://engage-me.me/public/image/customs/200220251740051184740.JPG	Staffing solutions for sporting events of all sizes.\n\nFrom race directors to marshals, we provide trained personnel for races, tournaments and competitions.	["https://web.archive.org/web/20250617162351im_/https://engage-me.me/public/image/customs/200220251740051184740.JPG"]	2026-04-28 10:27:13	2026-04-28 10:27:13
19	trade-events	trade events	https://web.archive.org/web/20250123160422im_/https://engage-me.me/public/image/customs/071020201602059478110.gif	Professional staff for trade shows and exhibitions.\n\nWe provide booth staff, demonstrators and support personnel who represent your brand professionally.	["https://web.archive.org/web/20250123160422im_/https://engage-me.me/public/image/customs/071020201602059478110.gif"]	2026-04-28 10:27:13	2026-04-28 10:27:13
